"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Connecticut"	"09"	"22 years"	"22"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	11	49357	Unreliable
	"Connecticut"	"09"	"23 years"	"23"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	10	47309	Unreliable
	"Connecticut"	"09"	"23 years"	"23"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	12	45996	Unreliable
	"Connecticut"	"09"	"24 years"	"24"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2015"	"2015"	11	44170	Unreliable
	"Connecticut"	"09"	"24 years"	"24"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	20	47020	42.5
	"Connecticut"	"09"	"24 years"	"24"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	15	45962	Unreliable
	"Connecticut"	"09"	"24 years"	"24"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	11	44973	Unreliable
	"Connecticut"	"09"	"24 years"	"24"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	10	44102	Unreliable
	"Connecticut"	"09"	"24 years"	"24"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2017"	"2017"	11	47020	Unreliable
	"Connecticut"	"09"	"24 years"	"24"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	15	44102	Unreliable
	"Connecticut"	"09"	"25 years"	"25"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2015"	"2015"	10	43456	Unreliable
	"Connecticut"	"09"	"25 years"	"25"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2016"	"2016"	14	44873	Unreliable
