"Table 1. Illicit Drug Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2017 and 2018 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2017 and 2018.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,11.43%,11.14%,11.73%,7.96%,7.59%,8.34%,24.04%,23.38%,24.72%,9.82%,9.49%,10.16%,11.78%,11.47%,12.10%
2,Northeast,11.88%,11.35%,12.43%,8.31%,7.64%,9.02%,26.53%,25.14%,27.97%,9.96%,9.34%,10.63%,12.20%,11.64%,12.79%
3,Midwest,11.01%,10.58%,11.45%,7.90%,7.35%,8.50%,23.80%,22.59%,25.06%,9.29%,8.77%,9.82%,11.32%,10.86%,11.80%
4,South,9.60%,9.28%,9.93%,7.24%,6.78%,7.72%,20.94%,19.89%,22.03%,8.08%,7.68%,8.50%,9.84%,9.49%,10.20%
5,West,14.39%,13.83%,14.97%,8.93%,8.18%,9.73%,27.29%,25.82%,28.81%,12.95%,12.27%,13.66%,14.95%,14.34%,15.58%
6,Alabama,10.74%,9.23%,12.45%,7.77%,6.21%,9.68%,21.12%,17.89%,24.76%,9.43%,7.75%,11.43%,11.04%,9.42%,12.89%
7,Alaska,18.05%,16.06%,20.22%,9.19%,7.36%,11.43%,27.48%,23.56%,31.78%,17.66%,15.27%,20.33%,19.02%,16.85%,21.41%
8,Arizona,12.46%,10.63%,14.56%,7.42%,5.88%,9.32%,22.20%,18.52%,26.38%,11.47%,9.36%,13.99%,12.98%,11.00%,15.26%
9,Arkansas,10.69%,9.15%,12.46%,6.75%,5.38%,8.44%,18.76%,15.72%,22.22%,9.87%,8.08%,11.99%,11.11%,9.44%,13.03%
10,California,13.44%,12.63%,14.29%,8.53%,7.51%,9.68%,26.81%,24.69%,29.04%,11.82%,10.85%,12.85%,13.94%,13.06%,14.87%
11,Colorado,19.64%,17.57%,21.89%,10.92%,8.76%,13.54%,36.37%,32.22%,40.72%,18.00%,15.59%,20.69%,20.51%,18.28%,22.95%
12,Connecticut,14.34%,12.46%,16.44%,10.45%,8.55%,12.71%,32.64%,28.63%,36.94%,11.83%,9.72%,14.31%,14.71%,12.70%,16.98%
13,Delaware,13.13%,11.45%,15.02%,9.90%,8.02%,12.16%,28.48%,24.66%,32.63%,11.25%,9.37%,13.45%,13.43%,11.64%,15.45%
14,District of Columbia,19.91%,17.74%,22.28%,10.51%,8.55%,12.86%,35.08%,30.62%,39.82%,17.75%,15.31%,20.49%,20.44%,18.17%,22.92%
15,Florida,10.71%,9.86%,11.62%,8.35%,7.28%,9.56%,24.51%,22.40%,26.74%,9.08%,8.10%,10.18%,10.91%,10.00%,11.90%
16,Georgia,9.51%,8.39%,10.75%,6.89%,5.66%,8.37%,21.74%,19.06%,24.68%,7.82%,6.56%,9.29%,9.80%,8.59%,11.15%
17,Hawaii,10.26%,8.66%,12.12%,6.50%,5.06%,8.32%,18.62%,15.37%,22.36%,9.52%,7.72%,11.69%,10.60%,8.89%,12.59%
18,Idaho,9.44%,8.07%,11.01%,7.45%,5.97%,9.27%,17.49%,14.49%,20.96%,8.38%,6.84%,10.24%,9.68%,8.20%,11.39%
